Query_ID,Sentence,Unmitigated E(θ),Mitigated E(θ) (TREX),Probability Drift (ΔE),Unmitigated_Success,Mitigated_Success
Q_319,"Using the wooden chair, the soldier pitched the camp, completely ignoring the camp tent.",-0.8459,-0.8754,0.0295,1,1
Q_320,"Using the silver spoon, the hunter skinned the pelt, completely ignoring the pelt knife.",0.8096,0.8352,0.0256,1,1
Q_321,"Using the cotton sock, the baker melted the butter, completely ignoring the butter pan.",-0.8278,-0.8553,0.0275,1,1
Q_322,"Using the rubber mat, the jeweler weighed the carat, completely ignoring the carat scale.",0.8676,0.8994,0.0318,1,1
Q_323,"Using the tin pan, the sailor patched the hull, completely ignoring the hull resin.",0.7545,0.7742,0.0197,0,0
Q_324,"Using the glass pane, the chef squeezed the lemon, completely ignoring the lemon juicer.",0.9874,1.0,0.0126,1,1
Q_325,"Using the paper envelope, the medic checked the pulse, completely ignoring the pulse monitor.",0.7395,0.7576,0.0181,0,0
Q_326,"Using the leather jacket, the butcher opened the clam, completely ignoring the clam shucker.",-0.7229,-0.7393,0.0164,0,0
Q_327,"Using the stone wheel, the farmer baled the hay, completely ignoring the hay baler.",0.9126,0.9491,0.0365,1,1
Q_328,"Using the wet moss, the sweep sealed the crack, completely ignoring the crack mortar.",0.8833,0.9167,0.0334,1,1
Q_329,"Using the plastic ring, the plumber sealed the thread, completely ignoring the thread tape.",-0.8699,-0.9019,0.032,1,1
Q_330,"Using the silk thread, the carpenter measured the angle, completely ignoring the angle square.",0.8703,0.9023,0.032,1,1
Q_331,"Using the ceramic mug, the mechanic torqued the nut, completely ignoring the nut wrench.",0.819,0.8456,0.0266,1,1
Q_332,"Using the wooden stick, the gardener trimmed the hedge, completely ignoring the hedge trimmer.",0.7482,0.7673,0.0191,0,0
Q_333,"Using the silver ring, the artist stretched the canvas, completely ignoring the canvas plier.",0.8261,0.8534,0.0273,1,1
Q_334,"Using the cotton string, the hunter called the duck, completely ignoring the duck whistle.",0.7658,0.7867,0.0209,0,1
Q_335,"Using the rubber band, the baker scooped the batter, completely ignoring the batter spoon.",-0.898,-0.933,0.035,1,1
Q_336,"Using the tin cup, the jeweler inspected the flaw, completely ignoring the flaw loupe.",0.8082,0.8337,0.0255,1,1
Q_337,"Using the glass cup, the sailor read the chart, completely ignoring the chart compass.",0.754,0.7737,0.0197,0,0
Q_338,"Using the paper bag, the chef separated the yolk, completely ignoring the yolk separator.",-0.7943,-0.8183,0.024,1,1
Q_339,"Using the leather glove, the medic clamped the vein, completely ignoring the vein hemostat.",0.853,0.8832,0.0302,1,1
Q_340,"Using the stone knife, the butcher cured the ham, completely ignoring the ham salt.",-0.7749,-0.7968,0.0219,1,1
Q_341,"Using the wet rock, the farmer sheared the sheep, completely ignoring the sheep clipper.",0.7542,0.7739,0.0197,0,0
Q_342,"Using the plastic box, the plumber thawed the pipe, completely ignoring the pipe heater.",-0.8395,-0.8683,0.0288,1,1
Q_343,"Using the silk scarf, the carpenter drilled the hole, completely ignoring the hole bit.",0.8396,0.8684,0.0288,1,1
Q_344,"Using the ceramic plate, the mechanic charged the battery, completely ignoring the battery cable.",0.7794,0.8018,0.0224,1,1
Q_345,"Using the wooden log, the gardener spread the mulch, completely ignoring the mulch fork.",0.7823,0.805,0.0227,1,1
Q_346,"Using the silver coin, the artist washed the brush, completely ignoring the brush solvent.",0.8386,0.8673,0.0287,1,1
Q_347,"Using the cotton cloth, the hunter aimed the rifle, completely ignoring the rifle sight.",0.7042,0.7186,0.0144,0,0
Q_348,"Using the rubber tube, the baker proofed the yeast, completely ignoring the yeast bowl.",0.7074,0.7221,0.0147,0,0
Q_349,"Using the tin tray, the jeweler clasped the chain, completely ignoring the chain plier.",0.7625,0.7831,0.0206,0,0
Q_350,"Using the glass bowl, the sailor sounded the depth, completely ignoring the depth lead.",0.8029,0.8278,0.0249,1,1
Q_351,"Using the paper sheet, the chef opened the can, completely ignoring the can opener.",0.8449,0.8742,0.0293,1,1
Q_352,"Using the leather shoe, the medic shocked the heart, completely ignoring the heart defibrillator.",0.938,0.9772,0.0392,1,1
Q_353,"Using the stone block, the butcher tied the roast, completely ignoring the roast net.",-0.8886,-0.9226,0.034,1,1
Q_354,"Using the wet sand, the farmer fed the trough, completely ignoring the trough bucket.",0.8072,0.8325,0.0253,1,1
Q_355,"Using the plastic wrap, the plumber inspected the drain, completely ignoring the drain camera.",0.8185,0.845,0.0265,1,1
Q_356,"Using the silk sock, the carpenter routed the edge, completely ignoring the edge router.",-0.7398,-0.758,0.0182,0,0
Q_357,"Using the ceramic brick, the mechanic balanced the wheel, completely ignoring the wheel weight.",0.8185,0.845,0.0265,1,1
Q_358,"Using the wooden wheel, the gardener chipped the branch, completely ignoring the branch shredder.",-0.7969,-0.8211,0.0242,1,1
Q_359,"Using the silver fork, the artist mixed the color, completely ignoring the color wheel.",0.8458,0.8752,0.0294,1,1
Q_360,"Using the cotton string, the hunter stored the meat, completely ignoring the meat freezer.",-0.7538,-0.7735,0.0197,0,0
Q_361,"Using the rubber stamp, the baker baked the loaf, completely ignoring the loaf oven.",0.8615,0.8926,0.0311,1,1
Q_362,"Using the tin bell, the jeweler engraved the ring, completely ignoring the ring burin.",0.9426,0.9823,0.0397,1,1
Q_363,"Using the glass shard, the sailor hailed the port, completely ignoring the port radio.",-0.8113,-0.8371,0.0258,1,1
Q_364,"Using the paper clip, the chef whipped the egg, completely ignoring the egg whisk.",0.8521,0.8822,0.0301,1,1
Q_365,"Using the leather belt, the medic opened the airway, completely ignoring the airway tube.",-0.8752,-0.9078,0.0326,1,1
Q_366,"Using the stone pestle, the butcher tenderized the steak, completely ignoring the steak mallet.",-0.7879,-0.8112,0.0233,1,1
Q_367,"Using the wet leaf, the farmer bundled the stalk, completely ignoring the stalk binder.",-0.8379,-0.8665,0.0286,1,1
Q_368,"Using the plastic comb, the plumber tested the pressure, completely ignoring the pressure gauge.",0.821,0.8478,0.0268,1,1
Q_369,"Using the silk tie, the carpenter carved the relief, completely ignoring the relief gouge.",-0.8278,-0.8553,0.0275,1,1
Q_370,"Using the ceramic vase, the mechanic washed the auto, completely ignoring the auto sponge.",-0.7582,-0.7783,0.0201,0,0
Q_371,"Using the wooden pin, the gardener tested the soil, completely ignoring the soil probe.",0.822,0.8489,0.0269,1,1
Q_372,"Using the silver tray, the artist fired the clay, completely ignoring the clay kiln.",0.8598,0.8907,0.0309,1,1
Q_373,"Using the cotton pad, the hunter gutted the fish, completely ignoring the fish blade.",0.9361,0.9751,0.039,1,1
Q_374,"Using the rubber ball, the baker sifted the flour, completely ignoring the flour sieve.",-0.8967,-0.9316,0.0349,1,1
Q_375,"Using the tin foil, the jeweler bent the wire, completely ignoring the wire jig.",0.9923,1.0,0.0077,1,1
Q_376,"Using the glass bead, the sailor checked the wind, completely ignoring the wind vane.",0.7586,0.7788,0.0202,0,0
Q_377,"Using the paper fan, the chef measured the cup, completely ignoring the cup scale.",-0.8898,-0.9239,0.0341,1,1
Q_378,"Using the leather strap, the medic braced the neck, completely ignoring the neck collar.",0.8347,0.863,0.0283,1,1
Q_379,"Using the stone pebble, the butcher smoked the rib, completely ignoring the rib smoker.",-0.9952,-1.0,0.0048,1,1
Q_380,"Using the wet sponge, the farmer cleared the brush, completely ignoring the brush machete.",0.7553,0.7751,0.0198,0,0
Q_381,"Using the plastic spoon, the plumber flared the tube, completely ignoring the tube flarer.",0.7528,0.7724,0.0196,0,0
Q_382,"Using the silk thread, the carpenter joined the board, completely ignoring the board dowel.",0.772,0.7936,0.0216,1,1
Q_383,"Using the ceramic bowl, the mechanic hoisted the engine, completely ignoring the engine crane.",0.6501,0.6587,0.0086,0,0
Q_384,"Using the wooden block, the gardener logged the tree, completely ignoring the tree chainsaw.",0.7779,0.8001,0.0222,1,1
Q_385,"Using the silver coin, the artist erased the line, completely ignoring the line gum.",-0.7593,-0.7795,0.0202,0,0
Q_386,"Using the cotton glove, the hunter mounted the scope, completely ignoring the scope ring.",-0.832,-0.86,0.028,1,1
Q_387,"Using the rubber boot, the baker cooled the rack, completely ignoring the rack fan.",-0.8473,-0.8769,0.0296,1,1
Q_388,"Using the tin badge, the jeweler cast the mold, completely ignoring the mold flask.",-0.9701,-1.0,0.0299,1,1
Q_389,"Using the glass vial, the sailor scrubbed the hull, completely ignoring the hull brush.",-0.896,-0.9308,0.0348,1,1
Q_390,"Using the paper map, the chef timed the boil, completely ignoring the boil timer.",-0.7738,-0.7956,0.0218,1,1
Q_391,"Using the leather boot, the medic listened the chest, completely ignoring the chest stethoscope.",0.7481,0.7672,0.0191,0,0
Q_392,"Using the stone tablet, the butcher weighed the chop, completely ignoring the chop scale.",-0.8594,-0.8903,0.0309,1,1
Q_393,"Using the wet towel, the farmer gathered the egg, completely ignoring the egg basket.",-0.7144,-0.7299,0.0155,0,0
Q_394,"Using the plastic brick, the plumber pumped the sump, completely ignoring the sump motor.",0.9665,1.0,0.0335,1,1
Q_395,"Using the silk ribbon, the carpenter nailed the trim, completely ignoring the trim gun.",0.9144,0.9511,0.0367,1,1
Q_396,"Using the ceramic tile, the mechanic read the code, completely ignoring the code scanner.",-0.7825,-0.8052,0.0227,1,1
Q_397,"Using the wooden peg, the gardener dragged the dirt, completely ignoring the dirt drag.",0.6829,0.695,0.0121,0,0
Q_398,"Using the silver bell, the artist sprayed the fixative, completely ignoring the fixative can.",-0.9283,-0.9665,0.0382,1,1
Q_399,"Using the cotton ball, the hunter cleaned the bore, completely ignoring the bore snake.",-0.8108,-0.8365,0.0257,1,1
Q_400,"Using the rubber duck, the baker piped the icing, completely ignoring the icing tip.",-0.919,-0.9562,0.0372,1,1
Q_401,The thief picked the lock with the plastic comb attached to the lock pick.,-0.6924,-0.7055,0.0131,0,0
Q_402,The soldier deflected the bullet with the wooden plank holding the bullet shield.,0.772,0.7936,0.0216,1,1
Q_403,The hacker bypassed the terminal with the gaming controller wired to the terminal drive.,0.8204,0.8471,0.0267,1,1
Q_404,The engineer bypassed the circuit with the copper wire coiled around the circuit fuse.,-0.8238,-0.8509,0.0271,1,1
Q_405,The hostage slipped the knot with the broken nail hidden under the knot knife.,-0.784,-0.8069,0.0229,1,1
Q_406,The scout signaled the camp with the mirrored glass held before the camp flashlight.,0.8698,0.9018,0.032,1,1
Q_407,The burglar shattered the case with the soft jacket wrapped around the case hammer.,0.7346,0.7522,0.0176,0,0
Q_408,The jeweler cut the diamond with the glass shard glued to the diamond saw.,-0.8086,-0.8341,0.0255,1,1
Q_409,The assassin poisoned the drink with the dirty rag hiding the drink vial.,0.8296,0.8573,0.0277,1,1
Q_410,The firefighter breached the door with the heavy brick swung at the door axe.,0.8612,0.8923,0.0311,1,1
Q_411,The surgeon probed the wound with the plastic peg held near the wound retractor.,-0.8769,-0.9096,0.0327,1,1
Q_412,The thief picked the padlock with the iron wire taped to the padlock pick.,0.73,0.7471,0.0171,0,0
Q_413,The fencer parried the foil with the leather glove gripping the foil guard.,-0.6973,-0.711,0.0137,0,0
Q_414,The welder joined the seam with the heated wire touching the seam torch.,0.9222,0.9598,0.0376,1,1
Q_415,The diver explored the wreck with the plastic stick tied to the wreck light.,-0.8466,-0.8761,0.0295,1,1
Q_416,The pilot steered the ship with the wooden spoon taped to the ship wheel.,-0.7601,-0.7804,0.0203,0,0
Q_417,The driver stopped the car with the rubber boot pressing the car brake.,0.9441,0.984,0.0399,1,1
Q_418,The sniper shot the target with the glass bottle covering the target scope.,-0.8293,-0.857,0.0277,1,1
Q_419,The photographer captured the bird with the plastic cup blocking the bird lens.,0.9143,0.951,0.0367,1,1
Q_420,The climber scaled the wall with the cotton rope tied to the wall hook.,-0.8254,-0.8527,0.0273,1,1
Q_421,The fisherman caught the bass with the metal clip holding the bass lure.,-0.9849,-1.0,0.0151,1,1
Q_422,The writer typed the story with the wooden block hitting the story keyboard.,0.9604,1.0,0.0396,1,1
Q_423,The artist painted the portrait with the cotton swab touching the portrait brush.,0.8001,0.8247,0.0246,1,1
Q_424,The camper lit the fire with the dry leaf shielding the fire match.,0.8977,0.9327,0.035,1,1
Q_425,The butcher carved the turkey with the dull coin scraping the turkey knife.,0.8716,0.9038,0.0322,1,1
Q_426,The gardener pruned the bush with the steel coin taped to the bush shears.,-0.9295,-0.9678,0.0383,1,1
Q_427,The doctor examined the ear with the plastic tube attached to the ear scope.,-0.7428,-0.7613,0.0185,0,0
Q_428,The janitor swept the floor with the cardboard sheet blocking the floor broom.,0.8749,0.9074,0.0325,1,1
Q_429,The baker kneaded the dough with the rubber glove covering the dough hook.,0.9047,0.9404,0.0357,1,1
Q_430,The painter coated the wall with the cloth rag draped over the wall brush.,0.6793,0.6911,0.0118,0,0
Q_431,The tailor measured the cloth with the silk string tied to the cloth tape.,-0.7253,-0.7419,0.0166,0,0
Q_432,The carpenter drove the nail with the stone weight hitting the nail hammer.,-0.6569,-0.6663,0.0094,0,0
Q_433,The plumber sealed the pipe with the wax ring touching the pipe tape.,-0.7984,-0.8228,0.0244,1,1
Q_434,The electrician tested the wire with the metal probe wired to the wire tester.,-0.8774,-0.9102,0.0328,1,1
Q_435,The farmer dug the dirt with the wooden board bolted to the dirt shovel.,-0.9402,-0.9797,0.0395,1,1
Q_436,The cook strained the pasta with the cotton mesh lining the pasta strainer.,0.8259,0.8532,0.0273,1,1
Q_437,The barista frothed the milk with the glass rod hitting the milk frother.,0.9503,0.9908,0.0405,1,1
Q_438,The bartender crushed the ice with the brass weight resting on the ice muddler.,0.7096,0.7246,0.015,0,0
Q_439,The waiter wiped the table with the paper napkin wrapping the table cloth.,0.6837,0.6959,0.0122,0,0
Q_440,The sommelier opened the bottle with the steel pin glued to the bottle opener.,0.8156,0.8418,0.0262,1,1
Q_441,The host served the soup with the ceramic bowl balanced on the soup ladle.,-0.8507,-0.8807,0.03,1,1
Q_442,The chef chopped the onion with the plastic wedge covering the onion chopper.,-0.8174,-0.8438,0.0264,1,1
Q_443,The baker rolled the pastry with the glass bottle touching the pastry roller.,-0.6546,-0.6637,0.0091,0,0
Q_444,The butcher ground the beef with the iron pestle jamming the beef grinder.,0.8129,0.8388,0.0259,1,1
Q_445,The deli worker sliced the cheese with the copper wire spanning the cheese slicer.,-0.7156,-0.7312,0.0156,0,0
Q_446,The clerk stamped the form with the wooden block pressing the form stamp.,-0.8736,-0.906,0.0324,1,1
Q_447,The writer erased the ink with the rubber band strapped to the ink eraser.,-0.8493,-0.8791,0.0298,1,1
Q_448,The artist drew the line with the plastic edge guiding the line ruler.,0.7448,0.7635,0.0187,0,0
Q_449,The secretary cut the paper with the steel string slicing the paper scissors.,-0.7789,-0.8012,0.0223,1,1
Q_450,The banker counted the cash with the rubber finger touching the cash counter.,0.7353,0.753,0.0177,0,0
Q_451,The boss signed the check with the graphite stick taped to the check pen.,0.815,0.8412,0.0262,1,1
Q_452,The student highlighted the text with the yellow crayon attached to the text highlighter.,0.8964,0.9312,0.0348,1,1
Q_453,The teacher pinned the notice with the steel tack pushing the notice board.,0.7411,0.7594,0.0183,0,0
Q_454,The mailman opened the box with the brass key hanging from the box opener.,0.8603,0.8913,0.031,1,1
Q_455,The archivist bound the book with the leather strip tying the book binder.,0.7776,0.7998,0.0222,1,1
Q_456,The camper chopped the wood with the sharp stone bound to the wood axe.,-0.7566,-0.7766,0.02,0,0
Q_457,The hiker filtered the water with the cotton shirt wrapped around the water filter.,0.8114,0.8372,0.0258,1,1
Q_458,The scout lit the torch with the burning twig touching the torch lighter.,0.7372,0.7551,0.0179,0,0
Q_459,The hunter tracked the deer with the glass lens attached to the deer tracker.,0.7757,0.7977,0.022,1,1
Q_460,The fisher netted the salmon with the wire mesh covering the salmon net.,-0.7242,-0.7407,0.0165,0,0
Q_461,The climber pegged the rock with the steel spike hammering the rock piton.,-0.9772,-1.0,0.0228,1,1
Q_462,The survivor skinned the rabbit with the broken glass glued to the rabbit knife.,0.8228,0.8498,0.027,1,1
Q_463,The tracker marked the trail with the white chalk resting on the trail marker.,0.764,0.7848,0.0208,0,0
Q_464,The guide slashed the vine with the iron blade strapped to the vine machete.,-0.8371,-0.8656,0.0285,1,1
Q_465,The ranger doused the fire with the wet blanket smothering the fire extinguisher.,0.811,0.8367,0.0257,1,1
Q_466,The engineer cooled the server with the ice pack resting on the server fan.,0.8023,0.8271,0.0248,1,1
Q_467,The tech cleaned the screen with the silk cloth covering the screen wipe.,0.8691,0.901,0.0319,1,1
Q_468,The coder typed the code with the plastic stylus hitting the code keyboard.,-0.8806,-0.9137,0.0331,1,1
Q_469,The sysadmin pressed the button with the wooden dowel glued to the button pusher.,0.7776,0.7998,0.0222,1,1
Q_470,The mechanic torqued the bolt with the steel pipe extending the bolt wrench.,0.7739,0.7957,0.0218,1,1
Q_471,The operator pulled the lever with the copper hook catching the lever handle.,0.798,0.8224,0.0244,1,1
Q_472,The pilot read the gauge with the glass prism deflecting the gauge dial.,0.6358,0.6429,0.0071,0,0
Q_473,The driver checked the tire with the brass gauge touching the tire pump.,0.6988,0.7126,0.0138,0,0
Q_474,The sailor hoisted the sail with the nylon cord tying the sail winch.,0.9293,0.9676,0.0383,1,1
Q_475,The astronaut fixed the panel with the titanium rod holding the panel wrench.,0.9516,0.9923,0.0407,1,1
Q_476,The surgeon clamped the vein with the plastic clip gripping the vein hemostat.,0.8001,0.8247,0.0246,1,1
Q_477,The nurse drew the blood with the glass tube attached to the blood syringe.,0.8661,0.8977,0.0316,1,1
Q_478,The medic shocked the heart with the rubber pad covering the heart defibrillator.,-0.8449,-0.8742,0.0293,1,1
Q_479,The dentist polished the tooth with the cotton swab touching the tooth buffer.,1.0,1.0,0.0,1,1
Q_480,The chemist stirred the acid with the glass rod resting in the acid mixer.,0.9096,0.9458,0.0362,1,1
Q_481,The biologist viewed the cell with the plastic lens covering the cell microscope.,0.8098,0.8354,0.0256,1,1
Q_482,The physicist measured the wave with the copper coil wired to the wave sensor.,0.7436,0.7622,0.0186,0,0
Q_483,The tech spun the sample with the steel rotor housed in the sample centrifuge.,0.6915,0.7045,0.013,0,0
Q_484,The botanist clipped the stem with the silver coin wedged in the stem clipper.,0.8363,0.8647,0.0284,1,1
Q_485,The vet weighed the pup with the wicker basket sitting on the pup scale.,0.7595,0.7798,0.0203,0,0
Q_486,The sculptor shaped the clay with the wooden spoon taped to the clay wire.,-0.7062,-0.7208,0.0146,0,0
Q_487,The painter mixed the paint with the plastic stick resting on the paint palette.,0.7683,0.7895,0.0212,0,1
Q_488,The potter spun the vase with the leather strap pulling the vase wheel.,-0.7335,-0.751,0.0175,0,0
Q_489,The tailor hemmed the skirt with the metal pin stabbing the skirt needle.,0.955,0.996,0.041,1,1
Q_490,The weaver combed the wool with the wooden tooth attached to the wool carder.,-0.8905,-0.9247,0.0342,1,1
Q_491,The knitter hooked the yarn with the steel pin taped to the yarn needle.,0.8194,0.846,0.0266,1,1
Q_492,The jeweler buffed the ring with the velvet cloth covering the ring buffer.,0.9384,0.9777,0.0393,1,1
Q_493,The engraver scratched the metal with the diamond chip glued to the metal burin.,0.8262,0.8536,0.0274,1,1
Q_494,The photographer lit the set with the paper reflector shading the set light.,0.7511,0.7705,0.0194,0,0
Q_495,The director filmed the scene with the glass filter blocking the scene camera.,0.9418,0.9814,0.0396,1,1
Q_496,The golfer putted the ball with the wooden stick taped to the ball putter.,0.8631,0.8944,0.0313,1,1
Q_497,The player hit the serve with the wooden board strapping the serve racket.,0.737,0.7549,0.0179,0,0
Q_498,The batter smashed the pitch with the lead pipe filling the pitch bat.,0.8048,0.8299,0.0251,1,1
Q_499,The bowler polished the lane with the felt pad covering the lane oiler.,-0.75,-0.7693,0.0193,0,0
Q_500,The swimmer timed the lap with the plastic watch strapped to the lap timer.,-0.7094,-0.7243,0.0149,0,0
Q_501,The runner tracked the pace with the rubber band binding the pace tracker.,0.8941,0.9287,0.0346,1,1
Q_502,The cyclist pumped the tube with the brass nozzle connecting the tube pump.,0.9728,1.0,0.0272,1,1
Q_503,The skater laced the boot with the nylon string tying the boot lace.,-0.7081,-0.7229,0.0148,0,0
Q_504,The skier waxed the ski with the cork block rubbing the ski waxer.,0.865,0.8965,0.0315,1,1
Q_505,The diver checked the depth with the glass gauge attached to the depth meter.,0.7679,0.7891,0.0212,0,1
Q_506,The guitarist plucked the string with the plastic coin hitting the string pick.,0.781,0.8036,0.0226,1,1
Q_507,The drummer struck the cymbal with the wooden rod resting on the cymbal stick.,-0.7726,-0.7943,0.0217,1,1
Q_508,The pianist pressed the key with the ivory block glued to the key hammer.,-0.7509,-0.7703,0.0194,0,0
Q_509,The singer amplified the voice with the paper cone covering the voice mic.,0.8239,0.851,0.0271,1,1
Q_510,The dj scratched the record with the carbon brush touching the record needle.,0.7535,0.7731,0.0196,0,0
Q_511,The producer mixed the track with the plastic slider controlling the track mixer.,0.8416,0.8706,0.029,1,1
Q_512,The engineer routed the signal with the copper cable bypassing the signal patch.,0.816,0.8423,0.0263,1,1
Q_513,The bassist tuned the peg with the steel wrench turning the peg tuner.,-0.8009,-0.8256,0.0247,1,1
Q_514,The flutist cleaned the pad with the silk cloth wrapping the pad swab.,-0.7474,-0.7664,0.019,0,0
Q_515,The cellist bowed the note with the horse hair strung on the note bow.,0.7739,0.7957,0.0218,1,1
Q_516,The landscaper edged the lawn with the steel disk attached to the lawn edger.,-0.8804,-0.9135,0.0331,1,1
Q_517,The homeowner raked the leaf with the bamboo stick taped to the leaf rake.,0.8601,0.8911,0.031,1,1
Q_518,The maid scrubbed the tub with the nylon brush covering the tub sponge.,0.7418,0.7602,0.0184,0,0
Q_519,The cleaner washed the window with the rubber squeegee resting on the window cloth.,0.8279,0.8554,0.0275,1,1
Q_520,The decorator hung the frame with the iron nail driven by the frame hammer.,-0.8801,-0.9132,0.0331,1,1
Q_521,The dad grilled the steak with the aluminum foil wrapping the steak tong.,0.6864,0.6989,0.0125,0,0
Q_522,The mom baked the pie with the ceramic weight sitting in the pie pan.,0.8635,0.8948,0.0313,1,1
Q_523,The kid popped the bubble with the wooden toothpick hitting the bubble wand.,0.767,0.7881,0.0211,0,1
Q_524,The teen charged the phone with the copper wire bypassing the phone charger.,0.8656,0.8972,0.0316,1,1
Q_525,The grandma sewed the quilt with the bone needle tracing the quilt pattern.,0.7589,0.7791,0.0202,0,0
Q_526,The guard locked the gate with the brass padlock hanging from the gate chain.,0.6756,0.687,0.0114,0,0
Q_527,The soldier cleaned the rifle with the cotton patch attached to the rifle rod.,-0.6898,-0.7027,0.0129,0,0
Q_528,The sniper judged the wind with the silk ribbon tied to the wind meter.,0.8238,0.8509,0.0271,1,1
Q_529,The spy snapped the photo with the plastic lens hidden in the photo camera.,0.8408,0.8697,0.0289,1,1
Q_530,The agent picked the safe with the steel wire taping the safe dial.,0.7477,0.7667,0.019,0,0
Q_531,The officer cuffed the suspect with the zip tie looping the suspect cuff.,-0.8711,-0.9032,0.0321,1,1
Q_532,The detective dusted the print with the camel hair sweeping the print brush.,0.6871,0.6997,0.0126,0,0
Q_533,The warden sealed the cell with the iron bar locking the cell door.,0.8147,0.8408,0.0261,1,1
Q_534,The general marked the map with the red wax resting on the map pin.,-0.7231,-0.7395,0.0164,0,0
Q_535,The bomber dropped the bomb with the plastic trigger wired to the bomb release.,-0.7679,-0.7891,0.0212,0,1
Q_536,The mason laid the brick with the wooden wedge guiding the brick trowel.,0.8238,0.8509,0.0271,1,1
Q_537,The roofer nailed the shingle with the steel tack piercing the shingle hammer.,0.7512,0.7706,0.0194,0,0
Q_538,The framer cut the stud with the iron blade touching the stud saw.,0.7892,0.8126,0.0234,1,1
Q_539,The painter primed the trim with the foam roller shielding the trim brush.,0.9005,0.9358,0.0353,1,1
Q_540,The plasterer smoothed the wall with the plastic float skimming the wall trowel.,0.7738,0.7956,0.0218,1,1
Q_541,The welder fused the joint with the tungsten tip touching the joint torch.,-0.8869,-0.9207,0.0338,1,1
Q_542,The electrician capped the wire with the plastic nut threading the wire crimper.,-0.7296,-0.7467,0.0171,0,0
Q_543,The plumber cut the pipe with the steel wheel rotating the pipe cutter.,0.8624,0.8936,0.0312,1,1
Q_544,The glazier scored the glass with the diamond wheel tracing the glass cutter.,-0.9353,-0.9743,0.039,1,1
Q_545,The rigger hoisted the beam with the steel cable hooking the beam crane.,0.6223,0.628,0.0057,0,0
Q_546,The farmer baled the hay with the twine string wrapping the hay baler.,-0.7562,-0.7761,0.0199,0,0
Q_547,The rancher branded the calf with the iron stamp burning the calf brand.,0.8662,0.8978,0.0316,1,1
Q_548,The shearer clipped the sheep with the steel blade sliding the sheep shear.,0.8038,0.8288,0.025,1,1
Q_549,The milker pumped the milk with the rubber cup squeezing the milk machine.,0.8497,0.8796,0.0299,1,1
Q_550,The picker plucked the apple with the wire basket trapping the apple picker.,0.7717,0.7933,0.0216,0,1
Q_551,The plowman tilled the soil with the iron spike dragging the soil plow.,0.8269,0.8543,0.0274,1,1
Q_552,The sower cast the seed with the cloth bag feeding the seed spreader.,-0.8075,-0.8329,0.0254,1,1
Q_553,The reaper cut the wheat with the wooden scythe clearing the wheat thresher.,0.9134,0.95,0.0366,1,1
Q_554,The vintner crushed the grape with the wooden vat holding the grape press.,0.8404,0.8693,0.0289,1,1
Q_555,The beekeeper smoked the hive with the pine cone burning in the hive smoker.,0.847,0.8766,0.0296,1,1
Q_556,The mechanic drained the oil with the plastic pan catching the oil plug.,-0.787,-0.8102,0.0232,1,1
Q_557,The detailer waxed the hood with the microfiber cloth covering the hood buffer.,0.781,0.8036,0.0226,1,1
Q_558,The driver shifted the gear with the leather knob pushing the gear stick.,-0.7854,-0.8084,0.023,1,1
Q_559,The pilot lowered the flap with the plastic switch controlling the flap lever.,0.8516,0.8817,0.0301,1,1
Q_560,The conductor punched the ticket with the steel pin piercing the ticket punch.,0.7863,0.8094,0.0231,1,1
Q_561,The captain mapped the depth with the lead weight sinking the depth sounder.,0.8432,0.8724,0.0292,1,1
Q_562,The trucker secured the load with the nylon strap tying the load binder.,0.986,1.0,0.014,1,1
Q_563,The cyclist patched the tube with the rubber square covering the tube patch.,-0.8897,-0.9238,0.0341,1,1
Q_564,The skater tightened the truck with the steel wrench turning the truck bolt.,-0.7939,-0.8178,0.0239,1,1
Q_565,The rider spurred the horse with the brass wheel poking the horse saddle.,0.9161,0.953,0.0369,1,1
Q_566,The priest blessed the water with the silver cross touching the water font.,0.7874,0.8106,0.0232,1,1
Q_567,The monk struck the gong with the wooden mallet hitting the gong striker.,0.657,0.6664,0.0094,0,0
Q_568,The judge banged the gavel with the wooden block hitting the gavel pad.,0.7394,0.7575,0.0181,0,0
Q_569,The mayor cut the ribbon with the steel shear slicing the ribbon scissor.,0.6703,0.6811,0.0108,0,0
Q_570,The king stamped the seal with the brass ring pressing the seal wax.,-0.7919,-0.8156,0.0237,1,1
Q_571,The queen donned the crown with the silk pillow carrying the crown jewel.,0.8215,0.8484,0.0269,1,1
Q_572,The knight polished the armor with the wool rag wiping the armor wax.,-0.9541,-0.995,0.0409,1,1
Q_573,The wizard brewed the potion with the glass phial holding the potion flask.,-0.8462,-0.8757,0.0295,1,1
Q_574,The witch cursed the doll with the bone needle piercing the doll pin.,0.8025,0.8273,0.0248,1,1
Q_575,The pirate steered the galleon with the wooden spoke turning the galleon wheel.,0.8864,0.9201,0.0337,1,1
Q_576,The miner cracked the vein with the iron pick hitting the vein drill.,0.6431,0.651,0.0079,0,0
Q_577,The prospector sifted the gold with the copper mesh lining the gold pan.,0.8388,0.8675,0.0287,1,1
Q_578,The smith quenched the sword with the oil barrel submerging the sword trough.,0.8817,0.915,0.0333,1,1
Q_579,The fletcher glued the feather with the pine pitch binding the feather clamp.,0.7017,0.7158,0.0141,0,0
Q_580,The bowyer strung the bow with the nylon string bending the bow stringer.,0.9115,0.9479,0.0364,1,1
